,Pattern,Valence Category,valence_x,valence_x,valence_x,arousal_x,arousal_x,arousal_x,Dominance_x,Dominance_x,Dominance_x,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,realEmtArr,cluster_label
,,,mean,var,std,mean,var,std,mean,var,std,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>,sort_and_unique,
0,mit003,Low,1.414,0.6859759862778744,0.8282366728646313,8.16,0.4863178959405416,0.6973649660977683,6.908,0.8420171526586656,0.9176149261311444,55.0,79.0,91.0,98.0,99.0,"['Alarmed', 'Angry', 'Hate', 'Sad']",0
1,mit004,Low,2.0766666666666667,8.897362567522706e-05,0.009432583192064995,6.52,1.3134509056244041,1.1460588578360207,6.68,0.19238322211630113,0.4386151184310695,41.0,73.0,80.0,92.0,97.0,"['Disgust', 'Taken Aback']",0
2,mit007,Low,1.038,0.0010966266437964242,0.03311535359612553,3.39,8.408444825614652,2.8997318540883485,1.992,0.7661738136077768,0.8753135515960991,81.0,80.0,95.0,92.0,79.0,"['Despondent', 'Distress', 'Hate', 'Miserable']",2
3,mit014,Low,3.506,0.5975947413546719,0.7730425223457452,5.586,5.31866361817661,2.3062228032383625,2.609,0.808379965704487,0.8990995304772921,99.0,60.0,75.0,97.0,83.0,"['Angry', 'Disgust', 'Hate', 'Melancholic', 'Sad', 'Startled', 'Tense']",2
4,mit017,Low,2.5342857142857143,0.3667170273581047,0.6055716533640794,5.405714285714286,1.493719885667617,1.222178336278146,4.107142857142857,2.385651286239289,1.544555368460221,66.0,72.0,72.0,75.0,74.0,"['Alarmed', 'Disgust', 'Dissatisfied', 'Miserable', 'Startled', 'Taken Aback']",1
5,mit022,Low,1.09625,0.0026739149848187317,0.05170991186241504,2.463125,1.7470959657974652,1.3217775780355276,1.630625,1.7056479393641744,1.306004570958377,89.0,83.0,65.0,82.0,64.0,"['Afraid', 'Alarmed', 'Angry', 'Disgust', 'Hate', 'Sad', 'Tense']",1
6,mit023,Low,1.165,0.12968675559790385,0.36012047372775663,7.968333333333334,0.6042016039383723,0.7773040614446655,2.006666666666667,4.929569636334757,2.2202634159790042,75.0,74.0,75.0,93.0,93.0,"['Afraid', 'Angry', 'Disgust']",0
7,mit032,Low,1.087,0.006682909402686578,0.08174906361963162,7.994,0.693302086310381,0.8326476363446791,7.362,1.481519291226068,1.217176770738773,66.0,70.0,77.0,67.0,72.0,"['Afraid', 'Angry', 'Aroused', 'Hate', 'Sad', 'Startled']",1
8,mit035,Low,2.2841666666666667,0.562291517821703,0.7498609990002834,6.31,2.2066920695403556,1.485493880680885,3.7841666666666667,0.9872260260379464,0.9935924848940567,80.0,61.0,81.0,75.0,75.0,"['Afraid', 'Angry', 'Despondent', 'Disgust', 'Miserable', 'Sad']",1
9,mit040,Low,2.01,0.0,0.0,1.94,0.000901287553648057,0.030021451557978623,2.01,0.0016022889842632108,0.040028602077304805,58.0,86.0,84.0,78.0,70.0,"['Despondent', 'Sad']",1
10,mit051,Low,1.422,0.37466304658473754,0.6120972525544757,5.012,8.833179765647321,2.9720665816309233,2.919,4.659720348671052,2.1586385405322153,67.0,86.0,86.0,83.0,82.0,"['Afraid', 'Alarmed', 'Angry', 'Despondent', 'Miserable', 'Sad', 'Taken Aback']",2
11,mit054,Low,1.012,1.6009148084616708e-05,0.004001143347171744,7.68,0.36020583190394767,0.6001715020758214,6.204,4.16132189822755,2.0399318366620856,53.0,74.0,77.0,93.0,101.0,"['Afraid', 'Hate']",0
12,mit061,Low,1.93,0.0,0.0,3.19,0.0,0.0,3.01,0.0,0.0,71.0,84.0,84.0,80.0,81.0,['Sad'],1
13,mit067,Low,1.8033333333333332,0.48842147054152707,0.6988715694185357,6.371666666666667,0.9876508654914968,0.9938062514854175,4.091666666666667,0.7899567254248052,0.8887950975476886,74.0,76.0,85.0,84.0,77.0,"['Angry', 'Distress', 'Hate']",2
14,mit072,Low,1.4915789473684211,0.5233130427211066,0.7234037895401894,5.748421052631579,3.287655049037836,1.8131891928416726,5.96,5.449303654684891,2.3343743604411205,45.0,86.0,88.0,112.0,112.0,"['Afraid', 'Alarmed', 'Angry', 'Despondent', 'Disgust', 'Distress', 'Hate', 'Miserable', 'Sad', 'Startled']",0
15,mit076,Low,1.0375,0.0004690850607576973,0.02165837160909604,8.4825,0.8039930307362391,0.8966565846165627,7.0075,3.0171738741958456,1.7370014030494754,72.0,76.0,66.0,98.0,89.0,"['Afraid', 'Melancholic', 'Taken Aback']",0
16,mit079,Low,2.384,0.6808985424406959,0.8251657666437066,8.516,0.13324206916261797,0.3650233816656379,3.257,2.3024588453843946,1.517385529581851,72.0,82.0,73.0,76.0,77.0,"['Disgust', 'Distress', 'Startled']",1
17,mit080,Low,1.426,0.2435631789594058,0.4935212041639202,7.89,0.23161234991423585,0.4812612075725986,2.026,0.6165763293310478,0.7852237447575359,78.0,79.0,78.0,84.0,79.0,"['Afraid', 'Disgust', 'Distress']",2
18,mit081,Low,2.066666666666667,0.006428344455036557,0.0801769571325612,6.206666666666667,5.276781061328229,2.2971245202052564,4.623333333333333,4.368182395932638,2.090019711852651,71.0,76.0,80.0,75.0,75.0,"['Afraid', 'Sad', 'Startled']",1
19,mit082,Low,2.4963157894736843,0.5613392595641603,0.7492257734249138,7.35,0.2716197924499924,0.5211715575988317,5.474210526315789,2.2864208309915925,1.5120915418689413,66.0,73.0,76.0,80.0,86.0,"['Afraid', 'Alarmed', 'Angry', 'Disgust', 'Dissatisfied', 'Distress', 'Melancholic', 'Miserable', 'Sad', 'Startled', 'Taken Aback', 'Tense']",1
20,mit096,Low,3.01,0.00040057224606585164,0.020014301038653627,7.045,0.00022532188841200437,0.015010725778988982,7.01,0.000400572246065727,0.02001430103865051,69.0,75.0,83.0,85.0,86.0,"['Angry', 'Tense']",2
21,mit097,Low,1.8728571428571428,0.33149857084524037,0.5757591257159893,4.804285714285714,6.0494365046958025,2.45956022587287,3.4957142857142856,4.656182115149044,2.157818832791355,70.0,80.0,84.0,85.0,72.0,"['Alarmed', 'Depressed', 'Disgust', 'Distress', 'Miserable', 'Sad']",2
22,mit099,Low,1.2033333333333334,0.15871912110243253,0.3983956840911213,6.412,0.562843208230142,0.7502287705961043,3.4426666666666668,3.7746452022607304,1.9428446160876403,79.0,75.0,77.0,93.0,68.0,"['Afraid', 'Alarmed', 'Distress', 'Hate', 'Miserable', 'Sad', 'Taken Aback']",2
23,mit104,Low,1.0,0.0,0.0,9.0,0.0,0.0,3.05,0.0,0.0,83.0,83.0,84.0,92.0,76.0,['Sad'],2
24,mit106,Low,3.575,0.005629020729092147,0.0750268000723218,4.055,2.5017869907077275e-05,0.005001786671488226,5.03,0.00010007147962830705,0.010003573342976352,70.0,95.0,83.0,75.0,83.0,"['Dissatisfied', 'Sad']",1
25,mit107,Low,1.85,0.27789849892780516,0.527160790393031,3.5,2.319206576125804,1.52289414475393,3.1575,0.42392155110793156,0.6510925825932373,83.0,86.0,66.0,71.0,75.0,"['Afraid', 'Angry', 'Despondent', 'Sad']",1
26,mit111,Low,1.19,0.02918056217246301,0.17082318979712038,6.325,0.5295771796093361,0.7277205367511186,6.648333333333333,2.5441920755915564,1.5950523739337077,68.0,91.0,87.0,84.0,90.0,"['Afraid', 'Angry', 'Depressed', 'Hate', 'Sad']",2
27,mit113,Low,1.775,0.5456147248034305,0.7386573798476738,6.025,8.416286633309493,2.901083699811071,3.9925,5.049775732666192,2.2471706060435626,72.0,90.0,88.0,95.0,86.0,"['Depressed', 'Disgust', 'Startled']",2
28,mit114,Low,1.7453846153846153,0.9184574800886072,0.9583618732444479,8.594615384615384,0.05691428378172709,0.23856714732277595,6.305384615384615,12.592238530868984,3.548554428336838,46.0,81.0,78.0,83.0,97.0,"['Afraid', 'Alarmed', 'Angry', 'Dissatisfied', 'Distress', 'Hate', 'Sad']",0
29,mit116,Low,1.6788888888888889,0.19682791715183093,0.44365292420069874,3.028888888888889,0.29814897145478253,0.5460301928051072,6.36,0.9615052397586525,0.9805637356942447,73.0,76.0,81.0,88.0,77.0,"['Depressed', 'Dissatisfied', 'Distress', 'Miserable', 'Sad', 'Taken Aback']",2
30,mit117,Low,1.0275,0.0005691565403859863,0.023857001915286554,4.425,6.734335239456756,2.5950597757001197,7.945,0.9957362401715444,0.9978658427722358,49.0,99.0,105.0,98.0,108.0,"['Angry', 'Distress', 'Hate', 'Sad']",0
31,mit121,Low,2.334285714285714,0.25475704369130386,0.504734626998489,5.564285714285714,0.2307472437729676,0.48036157607886126,7.142857142857143,0.7999469171090259,0.8943975162694863,75.0,71.0,87.0,96.0,81.0,"['Angry', 'Sad', 'Startled']",2
32,mit122,Low,1.9007142857142858,0.5197841396203329,0.7209605673130347,8.506428571428572,0.007910287813838976,0.08893979881829606,4.367857142857143,3.4842850581751414,1.866623973427734,63.0,77.0,98.0,98.0,96.0,"['Afraid', 'Angry', 'Disgust', 'Distress', 'Hate', 'Miserable', 'Startled']",0
33,mit123,Low,1.104,0.005105458702486433,0.0714524926261249,5.31,1.8380851671906329,1.3557599961610582,2.33,3.9197999428407955,1.9798484646156118,62.0,73.0,82.0,74.0,92.0,"['Afraid', 'Alarmed', 'Angry', 'Taken Aback', 'Tense']",1
